"C:\DIANA\Section B\VolatilityWorkbench\vol.exe" -f "D:\SectionB\RAM Capture\RAM CAPTURE 3.raw" windows.ldrmodules.LdrModules 
Volatility 3 Framework 2.5.0
Pid	Process	Base	InLoad	InInit	InMem	MappedPath
520	smss.exe	0x77d10000	True	True	True	\Windows\System32\ntdll.dll
520	smss.exe	0x9e0000	True	False	True	\Windows\System32\smss.exe
648	csrss.exe	0xcb0000	False	False	False	\Windows\System32\en-US\winsrv.dll.mui
648	csrss.exe	0xca0000	False	False	False	\Windows\System32\en-US\csrss.exe.mui
648	csrss.exe	0x11e0000	True	False	True	\Windows\System32\csrss.exe
648	csrss.exe	0x746f0000	True	True	True	\Windows\System32\basesrv.dll
648	csrss.exe	0x746a0000	True	True	True	\Windows\System32\sxssrv.dll
648	csrss.exe	0x746b0000	True	True	True	\Windows\System32\winsrvext.dll
648	csrss.exe	0x746d0000	True	True	True	\Windows\System32\winsrv.dll
648	csrss.exe	0x75670000	True	True	True	\Windows\System32\kernel32.dll
648	csrss.exe	0x74d60000	True	True	True	\Windows\System32\gdi32full.dll
648	csrss.exe	0x747c0000	True	True	True	\Windows\System32\KernelBase.dll
648	csrss.exe	0x74710000	True	True	True	\Windows\System32\csrsrv.dll
648	csrss.exe	0x749b0000	True	True	True	\Windows\System32\ucrtbase.dll
648	csrss.exe	0x74ad0000	True	True	True	\Windows\System32\bcryptprimitives.dll
648	csrss.exe	0x74ed0000	True	True	True	\Windows\System32\win32u.dll

648	csrss.exe	0x754b0000	True	True	True	\Windows\System32\msvcp_win.dll
648	csrss.exe	0x77d10000	True	True	True	\Windows\System32\ntdll.dll
648	csrss.exe	0x77420000	True	True	True	\Windows\System32\user32.dll
648	csrss.exe	0x76f10000	True	True	True	\Windows\System32\gdi32.dll
648	csrss.exe	0x77120000	True	True	True	\Windows\System32\rpcrt4.dll
648	csrss.exe	0x775a0000	True	True	True	\Windows\System32\combase.dll
716	wininit.exe	0x747c0000	True	True	True	\Windows\System32\KernelBase.dll
716	wininit.exe	0x9f0000	False	False	False	\Windows\System32\en-US\user32.dll.mui
716	wininit.exe	0x1300000	True	False	True	\Windows\System32\wininit.exe
716	wininit.exe	0x73b50000	True	True	True	\Windows\System32\ntmarta.dll
716	wininit.exe	0x73ab0000	True	True	True	\Windows\System32\fwbase.dll
716	wininit.exe	0x73ae0000	True	True	True	\Windows\System32\FirewallAPI.dll
716	wininit.exe	0x74630000	True	True	True	\Windows\System32\userenv.dll
716	wininit.exe	0x740b0000	True	True	True	\Windows\System32\mswsock.dll
716	wininit.exe	0x73b80000	True	True	True	\Windows\System32\profext.dll
716	wininit.exe	0x74330000	True	True	True	\Windows\System32\bcrypt.dll
716	wininit.exe	0x74690000	True	True	True	\Windows\System32\wininitext.dll
716	wininit.exe	0x74660000	True	True	True	\Windows\System32\sspicli.dll
716	wininit.exe	0x747a0000	True	True	True	\Windows\System32\profapi.dll
716	wininit.exe	0x77050000	True	True	True	\Windows\System32\msvcrt.dll
716	wininit.exe	0x75670000	True	True	True	\Windows\System32\kernel32.dll
716	wininit.exe	0x74d60000	True	True	True	\Windows\System32\gdi32full.dll
716	wininit.exe	0x749b0000	True	True	True	\Windows\System32\ucrtbase.dll
716	wininit.exe	0x74ad0000	True	True	True	\Windows\System32\bcryptprimitives.dll
716	wininit.exe	0x74ed0000	True	True	True	\Windows\System32\win32u.dll
716	wininit.exe	0x754b0000	True	True	True	\Windows\System32\msvcp_win.dll
716	wininit.exe	0x76fd0000	True	True	True	\Windows\System32\advapi32.dll
716	wininit.exe	0x76f10000	True	True	True	\Windows\System32\gdi32.dll
716	wininit.exe	0x77d10000	True	True	True	\Windows\System32\ntdll.dll
716	wininit.exe	0x77340000	True	True	True	\Windows\System32\sechost.dll
716	wininit.exe	0x77120000	True	True	True	\Windows\System32\rpcrt4.dll
716	wininit.exe	0x775a0000	True	True	True	\Windows\System32\combase.dll
716	wininit.exe	0x77420000	True	True	True	\Windows\System32\user32.dll
724	csrss.exe	0x890000	False	False	False	\Windows\System32\en-US\winsrv.dll.mui
724	csrss.exe	0x11e0000	True	False	True	\Windows\System32\csrss.exe
724	csrss.exe	0x746f0000	True	True	True	\Windows\System32\basesrv.dll
724	csrss.exe	0x746a0000	True	True	True	\Windows\System32\sxssrv.dll
724	csrss.exe	0x745a0000	True	True	True	\Windows\System32\sxs.dll
724	csrss.exe	0x746b0000	True	True	True	\Windows\System32\winsrvext.dll
724	csrss.exe	0x746d0000	True	True	True	\Windows\System32\winsrv.dll
724	csrss.exe	0x75670000	True	True	True	\Windows\System32\kernel32.dll
724	csrss.exe	0x74d60000	True	True	True	\Windows\System32\gdi32full.dll
724	csrss.exe	0x747c0000	True	True	True	\Windows\System32\KernelBase.dll
724	csrss.exe	0x74710000	True	True	True	\Windows\System32\csrsrv.dll
724	csrss.exe	0x749b0000	True	True	True	\Windows\System32\ucrtbase.dll
724	csrss.exe	0x74ad0000	True	True	True	\Windows\System32\bcryptprimitives.dll
724	csrss.exe	0x74ed0000	True	True	True	\Windows\System32\win32u.dll
724	csrss.exe	0x754b0000	True	True	True	\Windows\System32\msvcp_win.dll
724	csrss.exe	0x77d10000	True	True	True	\Windows\System32\ntdll.dll
724	csrss.exe	0x77420000	True	True	True	\Windows\System32\user32.dll
724	csrss.exe	0x76f10000	True	True	True	\Windows\System32\gdi32.dll
724	csrss.exe	0x77120000	True	True	True	\Windows\System32\rpcrt4.dll
724	csrss.exe	0x775a0000	True	True	True	\Windows\System32\combase.dll
780	services.exe	0xfa0000	False	False	False	\Windows\System32\en-US\services.exe.mui
780	services.exe	0xfd0000	True	False	True	\Windows\System32\services.exe
780	services.exe	0x747c0000	True	True	True	\Windows\System32\KernelBase.dll
780	services.exe	0x71a70000	True	True	True	\Windows\System32\dabapi.dll
780	services.exe	0x699d0000	True	True	True	\Windows\System32\srvcli.dll
780	services.exe	0x6d9f0000	True	True	True	\Windows\System32\spinf.dll
780	services.exe	0x70390000	True	True	True	\Windows\System32\usermgrcli.dll
780	services.exe	0x74550000	True	True	True	\Windows\System32\devobj.dll
780	services.exe	0x73a00000	True	True	True	\Windows\System32\authz.dll
780	services.exe	0x739d0000	True	True	True	\Windows\System32\WUDFPlatform.dll
780	services.exe	0x73a40000	True	True	True	\Windows\System32\scesrv.dll
780	services.exe	0x740b0000	True	True	True	\Windows\System32\mswsock.dll
780	services.exe	0x74660000	True	True	True	\Windows\System32\sspicli.dll
780	services.exe	0x74580000	True	True	True	\Windows\System32\EventAggregation.dll
780	services.exe	0x747a0000	True	True	True	\Windows\System32\profapi.dll
780	services.exe	0x77d10000	True	True	True	\Windows\System32\ntdll.dll
780	services.exe	0x75670000	True	True	True	\Windows\System32\kernel32.dll

780	services.exe	0x74ad0000	True	True	True	\Windows\System32\bcryptprimitives.dll
780	services.exe	0x749b0000	True	True	True	\Windows\System32\ucrtbase.dll
780	services.exe	0x75580000	True	True	True	\Windows\System32\cfgmgr32.dll
780	services.exe	0x77120000	True	True	True	\Windows\System32\rpcrt4.dll
780	services.exe	0x77050000	True	True	True	\Windows\System32\msvcrt.dll
780	services.exe	0x76fd0000	True	True	True	\Windows\System32\advapi32.dll
780	services.exe	0x77340000	True	True	True	\Windows\System32\sechost.dll
788	lsass.exe	0x73dd0000	True	True	True	\Windows\System32\cloudAP.dll
788	lsass.exe	0x330000	True	False	True	\Windows\System32\lsass.exe
788	lsass.exe	0x140000	False	False	False	\Windows\System32\en-US\vaultsvc.dll.mui
788	lsass.exe	0x320000	False	False	False	\Windows\System32\en-US\lsasrv.dll.mui
788	lsass.exe	0x2800000	True	True	True	\Windows\System32\msprivs.dll
788	lsass.exe	0x69a50000	True	True	True	\Windows\System32\ncryptprov.dll
