PassMark Volatility Workbench Log file  -  http://www.passmark.com
==================================================================
Volatility Workbench Version: V3.0 Build 1006
Volatility 3 Framework Version: 2.5.0
Log Date: Sat Mar 16 15:06:15 2024


Time Stamp: Sat Mar 16 07:25:18 2024

"C:\DIANA\Section B\VolatilityWorkbench\vol.exe" -f "D:\SectionB\RAM Capture\RAM CAPTURE 3.raw" windows.svcscan.SvcScan 
Volatility 3 Framework 2.5.0
Offset	Order	PID	Start	State	Type	Name	Display	Binary
0x3242920	382	1800	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	StateRepository	State Repository Service	C:\Windows\system32\svchost.exe -k appmodel -p
0x324292c	381	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	SstpSvc	SstpSvc	N/A
0x324233c	380	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	ssh-agent	ssh-agent	N/A
0x3242dec	379	1708	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	SSDPSRV	SSDP Discovery	C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p
0x32426cc	378	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	srvnet	srvnet	\FileSystem\srvnet
0x323fbc4	377	N/A	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_FILE_SYSTEM_DRIVER	srv2	srv2	\FileSystem\srv2
0x323f8a4	376	N/A	SERVICE_AUTO_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	sppsvc	Software Protection	N/A
0x3242cbc	375	664	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS|SERVICE_INTERACTIVE_PROCESS	Spooler	Print Spooler	C:\Windows\System32\spoolsv.exe
0x3242b8c	374	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	spectrum	spectrum	N/A
0x324246c	373	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	SpbCx	SpbCx	N/A
0x323f764	372	N/A	SERVICE_BOOT_START	SERVICE_RUNNING	SERVICE_KERNEL_DRIVER	spaceport	spaceport	\Driver\spaceport
0x323fd04	371	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	SNMPTRAP	SNMPTRAP	N/A
0x3242a5c	370	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	SmsRouter	SmsRouter	N/A
0x32427fc	369	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	smphost	smphost	N/A
0x324259c	368	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	SiSRaid4	SiSRaid4	N/A
0x323f6c4	367	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	SiSRaid2	SiSRaid2	N/A
0x323fda4	366	N/A	SERVICE_DISABLED	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	shpamsvc	shpamsvc	N/A
0x3241aec	365	1212	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	ShellHWDetection	Shell Hardware Detection	C:\Windows\system32\svchost.exe -k netsvcs -p
0x324188c	364	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	SharedRealitySvc	SharedRealitySvc	N/A
0x324162c	363	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	SharedAccess	SharedAccess	N/A
0x32413cc	362	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	sfloppy	sfloppy	N/A
0x323f624	361	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	SessionEnv	Remote Desktop Configuration	N/A
0x3241fac	360	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	sermouse	sermouse	N/A
0x323ea44	359	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	Serial	Serial	N/A
0x323f3a4	358	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	Serenum	Serenum	N/A
0x323f304	357	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	SerCx2	SerCx2	N/A
0x323ee04	356	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	SerCx	SerCx	N/A
0x323f264	355	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	SensrSvc	SensrSvc	N/A
0x32420dc	354	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_KERNEL_DRIVER	SensorsHIDClassDriver	SensorsHIDClassDriver	N/A
0x323f1c4	353	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_SHARE_PROCESS	SensorService	SensorService	N/A
0x324129c	352	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	SensorDataService	SensorDataService	N/A
0x324116c	351	N/A	SERVICE_DEMAND_START	SERVICE_STOPPED	SERVICE_WIN32_OWN_PROCESS	Sense	Sense	N/A
0x324175c	350	1212	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_SHARE_PROCESS	SENS	System Event Notification Service	C:\Windows\system32\svchost.exe -k netsvcs -p
0x3241d4c	349	1732	SERVICE_DEMAND_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS	SEMgrSvc	Payments and NFC/SE Manager	C:\Windows\system32\svchost.exe -k LocalService -p
0x3241e7c	348	2576	SERVICE_AUTO_START	SERVICE_RUNNING	SERVICE_WIN32_OWN_PROCESS	SecurityHealthService	Windows Defender Security Center Service	C:\Windows\system32\SecurityHealthService.exe
